Year,Units (Thousands),,,,,,,,,,,,,,,,,,,
1974,34,,,,,,,,,,,,,,,,,,,
1975,40,,,,,,,,,,,,,,,,,,,
1976,70,,,,,,,,,,,,,,,,,,,
1977,250,,,,,,,,,,,,,,,,,,,
1978,402,,,,,,,,,,,,,,,,,,,
1979,475,,,,,,,,,,,,,,,,,,,
1980,805,,,,,,,,,,,,,,,,,,,
1981,1361,,,,,,,,,,,,,,,,,,,
1982,2035,,,,,,,,,,,,,,,,,,,
1983,4091,,,,,,,,,,,,,,,,,,,
1984,7616,,,,,,,,,,,,,,,,,,,
1985,11336,,,,,,,,,,,,,,,,,,,
1986,12005,,,,,,,,,,,,,,,,,,,
1987,11702,,,,,,,,,,,,,,,,,,,
1988,10748,,,,,,,,,,,,,,,,,,,
1989,9760,,,,,,,,,,,,,,,,,,,
1990,10119,,,,,,,,,,,,,,,,,,,
1991,10718,,,,,,,,,,,,,,,,,,,
1992,12329,,,,,,,,,,,,,,,,,,,
1993,12448,,,,,,,,,,,,,,,,,,,
1994,13087,,,,,,,,,,,,,,,,,,,
1995,13562,,,,,,,,,,,,,,,,,,,
1996,15641,,,,,,,,,,,,,,,,,,,
1997,16673,,,,,,,,,,,,,,,,,,,
1998,18113,,,,,,,,,,,,,,,,,,,
1999,22809,,,,,,,,,,,,,,,,,,,
2000,23072,,,,,,,,,,,,,,,,,,,
2001,14910,,,,,,,,,,,,,,,,,,,
2002,13538,,,,,,,,,,,,,,,,,,,
2003,6416,,,,,,,,,,,,,,,,,,,
2004,2267,,,,,,,,,,,,,,,,,,,
2005,1365,,,,,,,,,,,,,,,,,,,
2006,759,,,,,,,,,,,,,,,,,,,
2007,53,,,,,,,,,,,,,,,,,,,
2008,6,,,,,,,,,,,,,,,,,,,
2009,0,,,,,,,,,,,,,,,,,,,